id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<China NP period1>	weight<China NP period2>	weight<China NP period3>	weight<China NP period4>	weight<China NP R10 period1>	weight<China NP R10 period2>	weight<China NP R10 period3>	weight<China NP R10 period4>	weight<China NP R001 period1>	weight<China NP R001 period2>	weight<China NP R001 period3>	weight<China NP R001 period4>	weight<USA NP period1>	weight<USA NP period2>	weight<USA NP period3>	weight<USA NP period4>	weight<USA NP R10 period1>	weight<USA NP R10 period2>	weight<USA NP R10 period3>	weight<USA NP R10 period4>	weight<USA NP R001 period1>	weight<USA NP R001 period2>	weight<USA NP R001 period3>	weight<USA NP R001 period4>	weight<Japan NP period1>	weight<Japan NP period2>	weight<Japan NP period3>	weight<Japan NP period4>	weight<Japan NP R10 period1>	weight<Japan NP R10 period2>	weight<Japan NP R10 period3>	weight<Japan NP R10 period4>	weight<Japan NP R001 period1>	weight<Japan NP R001 period2>	weight<Japan NP R001 period3>	weight<Japan NP R001 period4>	weight<Germany NP period1>	weight<Germany NP period2>	weight<Germany NP period3>	weight<Germany NP period4>	weight<Germany NP R10 period1>	weight<Germany NP R10 period2>	weight<Germany NP R10 period3>	weight<Germany NP R10 period4>	weight<Germany NP R001 period1>	weight<Germany NP R001 period2>	weight<Germany NP R001 period3>	weight<Germany NP R001 period4>	weight<South Korea NP period1>	weight<South Korea NP period2>	weight<South Korea NP period3>	weight<South Korea NP period4>	weight<South Korea NP R10 period1>	weight<South Korea NP R10 period2>	weight<South Korea NP R10 period3>	weight<South Korea NP R10 period4>	weight<South Korea NP R001 period1>	weight<South Korea NP R001 period2>	weight<South Korea NP R001 period3>	weight<South Korea NP R001 period4>	weight<United Kingdom NP period1>	weight<United Kingdom NP period2>	weight<United Kingdom NP period3>	weight<United Kingdom NP period4>	weight<United Kingdom NP R10 period1>	weight<United Kingdom NP R10 period2>	weight<United Kingdom NP R10 period3>	weight<United Kingdom NP R10 period4>	weight<United Kingdom NP R001 period1>	weight<United Kingdom NP R001 period2>	weight<United Kingdom NP R001 period3>	weight<United Kingdom NP R001 period4>	weight<Taiwan NP period1>	weight<Taiwan NP period2>	weight<Taiwan NP period3>	weight<Taiwan NP period4>	weight<Taiwan NP R10 period1>	weight<Taiwan NP R10 period2>	weight<Taiwan NP R10 period3>	weight<Taiwan NP R10 period4>	weight<Taiwan NP R001 period1>	weight<Taiwan NP R001 period2>	weight<Taiwan NP R001 period3>	weight<Taiwan NP R001 period4>	weight<NP focus2 sum period1>	weight<NP R10 focus2 sum period1>	weight<NP R001 focus2 sum period1>	weight<NP focus2 sum period2>	weight<NP R10 focus2 sum period2>	weight<NP R001 focus2 sum period2>	weight<NP focus2 sum period3>	weight<NP R10 focus2 sum period3>	weight<NP R001 focus2 sum period3>	weight<NP focus2 sum period4>	weight<NP R10 focus2 sum period4>	weight<NP R001 focus2 sum period4>	weight<NP ALL>	score<ratio NP period1>	score<ratio NP R10 period1>	score<ratio NP R001 period1>	score<ratio NP period2>	score<ratio NP R10 period2>	score<ratio NP R001 period2>	score<ratio NP period3>	score<ratio NP R10 period3>	score<ratio NP R001 period3>	score<ratio NP period4>	score<ratio NP R10 period4>	score<ratio NP R001 period4>	score<diff top10 period1>	score<diff top10 period2>	score<diff top10 period3>	score<diff top10 period4>	score<diff top1 period1>	score<diff top1 period2>	score<diff top1 period3>	score<diff top1 period4>	score<avgyr>
SbSI	-1.1432	-0.0493	1	99	60.331	1072	3073	6384	8498	48	200.035	574.8977	1011.5556	1	16.04	43.755	106.6563	1843	3616	4580	4074	375.9667	709.6229	848.7282	629.5655	60.975	94.71	119.145	91.6873	897	1140	1296	1274	50.9667	52.04	71.64	70.6604	1	4	5	13	628	898	1374	1426	54	108	187.4632	201.489	3.29	8.65	27	27	255	800	1246	1243	14	53	99.48	126.7002	1	4	4.29	7	392	587	798	847	34	57	130.5182	136.7926	3	9	11	18.9513	218	633	784	615	14	24	43.5564	57.5092	0	1	4	4.878	355	62.1	10.65	325	63.65	7.41	482	82.4	8.48	841	134.9364	15.49	4447	0.7718	0.8398	0.9897	0.6062	0.76	0.7301	0.3548	0.3352	0.2659	0.2485	0.1503	0.1472	6.7489	12.6222	-1.4651	-8.4373	3.7109	1.1837	-0.6829	-0.9993	2011.194738
Scanning Tunneling Microscopy	-0.6363	0.276	4	99	111.9009	34	76	177	319	1	1.3	4.2	33.8758	0	0	0.65	4.85	578	647	605	546	115.6	107.3	83.2	78.1225	14.67	10.87	12.69	10.29	212	230	183	118	10	14.6	8.45	5	0.21	1	0	1	57	40	40	113	2	6	4.45	8.6425	0.21	0	0	0	137	129	141	175	6	8	10.7	13.7889	0	0	1	3.85	89	61	60	76	7	6.3	2	11.3111	0.81	2	0	0	110	111	140	100	4	4	20	5	0	0.08	2	0	1247	200.99	28.16	817	120.3	18.86	473	61.675	6.85	339	51.2421	5.39	10214	0.7923	0.8358	0.8338	0.6561	0.8217	0.7879	0.7019	0.9112	0.854	0.6372	0.7687	0.8145	4.2617	10.8087	13.0447	8.5984	0.5696	1.3489	1.0528	1.2194	2007.389759
Scheduling	1.1028	-0.2366	2	99	10.773	81	128	311	632	9.95	15.275	54.7833	114.6545	0.11	2	6.225	13.21	274	197	171	209	52.15	48.375	27.6167	20.2818	10.54	5.41	2.255	2.28	90	38	19	45	5	1	0	3	0	1	0	0	329	185	155	208	34	15.3	11.4	18.45	0.78	1	0	3.28	32	22	20	46	1	0	4	7.2818	0	0	1.9	0	24	35	18	43	7.8	7.275	0	4	0	0	0	0	7	7	7	14	0	0	1.25	1	0	0	0	0	1584	178.0583	20.68	1561	187.9	16.79	1875	225	28.63	3068	402.3181	43.525	18817	0.7348	0.7852	0.684	0.517	0.3881	0.3574	0.3381	0.2903	0.3402	0.2422	0.181	0.0824	2.9039	-6.2121	-2.5642	-4.3678	-0.3407	-0.6875	0.0141	-1.2353	2011.459266
Self-Assembled Monolayers	-0.966	0.0786	1	99	101.0113	259	281	141	123	33	21.45	5.475	11.8536	4.68	4	1	1	988	536	332	216	167.99	98.85	56.2	39.3886	23.48	14.86	5.85	4.39	1340	603	291	177	76.45	40.29	23.475	12	5.68	1	5.33	1	625	395	249	213	91.2533	55.74	39.545	34.4718	9	4	2.44	4.81	283	218	132	93	35.0833	13.56	11.475	2.78	5	0	0	0	210	97	79	54	23.07	10	3.4	5.16	3	0	1	0.41	97	99	66	56	14	4	1.68	0	3	0	0	0	2395	347.6333	43.71	2733	285.1274	36.065	2373	267.8667	26.185	2547	337.3272	40.775	26206	0.7712	0.954	0.9314	0.6572	0.8362	0.9168	0.5112	0.6775	0.836	0.4099	0.4629	0.473	15.0355	8.2926	7.5147	2.9036	1.6567	1.5209	1.4344	0.4174	2010.311532
Silicon Nanowires	-0.3669	-0.2395	3	99	124.3757	548	937	1160	1503	16	46.6929	86.3833	181.1704	3	3	4.295	21.49	1847	1796	1213	1044	331.6333	238.4345	181.4833	156.1569	40.71	33.065	21.89	19.285	1293	953	684	613	45.925	46.35	53.6	64.8404	2	4.825	3	6.63	777	1134	1232	1186	114.525	218.3286	202.2467	138.3259	7.94	25.065	22.66	13.845	291	335	249	242	2	19.325	22	29.2433	0	4	1	3	389	501	447	511	40	70.125	63.5833	82.6128	3.86	5	11	5.305	60	162	111	83	1	7	3	3.284	0	0	0	0	555	68.9	9.51	1492	190.6	25.66	2723	331.565	45.97	2414	304.1113	39	15899	0.5459	0.897	0.8948	0.6588	0.8473	1	0.484	0.6065	0.6615	0.3476	0.3801	0.5071	17.5786	10.7122	5.9729	1.8097	2.4118	2.6104	1.1998	1.1363	2013.347443
Silicon Photonics	0.6169	0.2714	5	99	81.795	252	509	1405	1575	7.1	29.1	130.46	188.5093	1	0	15.56	19.225	303	983	1318	839	61.8	161.5	201.105	115.6021	8.51	25.66	30.41	19.775	119	300	345	304	3.4	15	21.66	24.4077	0	0	2	2.155	50	305	569	499	5	31.65	64.95	54.2246	0	2.38	4	4.455	42	310	686	431	0	21	36.51	35.8773	0	1	3.03	4.785	20	77	184	236	1	11	26.9	39.8971	0	2	2.03	5	30	192	398	214	1	11.5	27	23.0581	0	1.46	2	4	1391	237.5	32.5	2147	332.5	37.98	3196	415.775	48.38	5150	688.1563	87.48	23978	0.7225	0.9368	1	0.6521	0.8772	1	0.5532	0.7837	0.8892	0.4115	0.6288	0.7358	18.2533	15.367	12.1316	11.9936	3.2338	2.7129	2.0579	2.2753	2012.634874
Silicon Solar Cells	-0.1056	-0.1792	3	99	113.0581	386	747	1428	3031	15	40.8333	89.9375	255.4345	0	0	5.36	23.11	1005	1400	1768	2119	222.5	291.6667	325.8375	432.7218	32.5	37.98	43.02	64.37	602	549	611	739	36.8	16.775	26.8833	28.3793	1	0	3	0	207	226	402	536	21.1	28	67.8833	63.3586	1	3	12.61	6.19	254	230	204	241	6	4	3	17	0	0	1	0.19	221	260	316	551	25	18	41.6625	58.1379	1	1	2	6	104	171	161	210	4	5	6	9.046	0	0	0	1	186	21.9	0.92	225	19.85	0	723	67.0738	5.23	1357	148.7857	16.21	8090	0.8333	0.863	1	0.6711	0.7985		0.3804	0.5065	0.8088	0.2948	0.3654	0.4843	2.5161	5.0913	4.9664	3.7243	0.5935	0	1.315	1.0889	2013.439308
Soft Errors	1.2312	-0.1161	2	99	64.1383	31	74	448	957	3	4	33.0988	94.4226	0	0	1	8.36	155	151	275	400	18.9	15.85	33.975	54.3631	0.92	0	4.23	7.85	138	150	208	251	17.45	17.2	13.3286	15.6	1	0	3	2	240	288	596	648	37.1	53.8167	93.1119	98.6298	5.62	6.12	8.86	10.43	30	65	223	226	0	2	2.3286	5.9167	0	0	0	1	21	12	51	111	2	0	8	15	0	0	0	1.85	3	27	81	99	0	5	6	2.3714	0	0	0	0	478	63.4333	8.46	553	73.925	7.05	711	83.8367	11.25	940	113.7079	17.015	5265	0.9644	1	1	0.9241	1	1	0.6667	0.8499	1	0.4596	0.6139	0.5378	13.7599	14.4667	9.7208	7.5171	1.8351	1.3796	2.3734	0.5698	2012.275973
Solder Joints	0.5745	-0.2411	2	99	106.1912	17	42	237	508	0	0	12.5867	43.9009	0	0	0	7.865	461	511	474	432	63.4333	73.925	71.25	69.807	8.46	7.05	11.25	9.15	85	89	82	94	5	4	4	13.4736	0	1	0.98	2.29	54	42	76	112	0	1	5.45	13.9087	0	0	0	0	20	21	55	89	0	2	2.36	6.8667	0	0	0	0.97	44	37	54	75	6	2.2	7.8667	13.6019	1.63	0	1	0.475	8	8	18	21	0	0	1	4.0248	0	0	0	0	1434	193.1167	19.96	1719	219.345	25.12	2017	219.0767	30.295	2600	307.8399	36.3633	16720	0.7308	0.7797	0.8998	0.5486	0.6208	0.7611	0.4487	0.5136	0.5049	0.3027	0.2368	0.1425	3.3437	3.7217	2.8494	-3.6973	1.1956	1.2544	0.3411	-1.0618	2011.44384
Solid Oxide Fuel Cell	-1.0078	-0.3058	1	99	66.1368	386	776	1112	1813	42.55	83.175	106.5633	234.9492	2	6	15	31.1833	1048	943	905	787	150.5667	136.17	112.5133	72.8908	17.96	19.12	15.295	5.18	377	369	377	482	39.3	41.41	35.5	70.0928	8.02	6.19	5	16.18	159	154	157	187	13.7667	15	15	9.9261	1	1	2	0	295	430	420	451	21	24	28.35	38.606	1	2.98	3	2.02	94	134	128	145	6	18.425	19.2	28.8636	0	3	2.715	2	373	667	628	461	35.7333	52.72	51.25	32.865	3.51	1.99	4.815	4	1241	159.8333	19.65	2745	357.941	34.8	3688	493.2065	67.6033	4592	662.6457	77.2	31076	0.5858	0.8874	0.8982	0.4517	0.6026	0.7701	0.4477	0.5475	0.7417	0.3105	0.3233	0.3886	16.0075	7.9437	5.3972	0.863	2.0387	1.6297	2.1795	0.6129	2012.13039
Stretchable Electronics	-0.1507	-0.3775	1	99	119.705	24	125	815	5894	1	13	103.9	814.7239	0	0.16	10.85	86.675	191	427	1119	2837	30.8	80.6	223.2	442.2999	2.44	10.74	23.52	65.065	74	95	243	692	3	2	15	57.1809	2	1.21	3	8	20	75	192	446	0	8.05	14	25.13	0	0	0	4	27	182	795	2332	2.3	19	93.65	242.0987	0	1	10.92	25.915	38	62	167	644	5	8.05	8	52.8737	0.71	0	1	5.1433	6	57	146	285	1	1	3	13	0	0	0	1	215	31.8	2.44	552	93.6	10.9	1934	327.1	34.37	8731	1257.0238	151.74	18979	0.8884	0.9686	1	0.7736	0.8611	0.9853	0.5786	0.6824	0.6843	0.3249	0.3519	0.4288	11.959	8.4759	7.1979	1.7675	1.2775	2.3872	0.7706	0.8229	2016.712577
Supercapacitor	-1.0688	-0.3058	1	99	80.6652	369	1714	9688	33639	25.95	146.4	1015.755	3885.3659	3.18	10	97.555	396.81	253	464	2559	5438	23.15	96.7333	448.7	1031.7374	3.18	17.135	65.125	162.19	239	399	812	1552	16	28.3833	79.875	136.7035	0.61	3.37	10	16	54	147	615	1498	5	29	75	193.1352	1	1	11	20	124	336	1776	4423	13	25	146	338.6591	1	1	8	19	42	74	307	1167	5.8	10	40	159.641	0	0	1	10	76	166	335	872	6	6	18	47.8333	0	0.92	1	5	622	49.1	6.36	2178	243.1333	27.135	12247	1464.455	162.68	39077	4917.1033	559	74272	0.4068	0.4715	0.5	0.213	0.3979	0.6315	0.2089	0.3064	0.4003	0.1392	0.2098	0.2901	2.1177	12.3063	7.0495	7.4226	0.3951	3.1095	1.538	1.8029	2016.618955
Terahertz	0.4258	0.246	5	99	111.6518	109	403	830	1901	2	17	37.7964	146.9828	0	1.65	1	17.4	559	618	674	782	72.15	95.4	117.6357	142.6119	9.29	11.93	12.9	14.98	384	450	524	553	32.85	30	44.3714	59.6653	1	1	2	5.09	276	340	403	451	39	66.55	79.025	82.2084	4.21	6.97	12.37	12.45	32	80	195	235	2	5	20.7714	17	0	1	1	1.87	134	193	247	360	26	26	29.7964	61.9882	2.9	2	2	8.85	65	60	54	54	5	8	3	0	0	0	0	0	668	74.15	9.29	1021	112.4	13.58	1504	155.4321	13.9	2683	289.5947	32.38	13315	0.8368	0.973	1	0.6053	0.8488	0.8785	0.4481	0.7568	0.9281	0.2915	0.4925	0.4626	11.0721	11.2185	12.8996	10.5049	1.6619	1.521	1.7935	1.0003	2013.024258
Thermal Diffusivity	0.0162	0.2388	3	99	106.0029	74	89	148	389	1	7	28.6167	63.1583	0	1	4.47	9.38	183	128	158	198	27.625	17.4333	10.1	18.3228	3.29	0.11	0	0.92	131	49	43	64	11	3	2	3	1.2567	0	0	0	138	76	71	139	17.6833	8	4	14.9867	0	2	0	1	20	27	35	64	1	2	2	9.1833	0	1.47	0	1	99	40	70	138	13	10.0333	23.15	35.075	3.2867	2	5.37	6.465	3	6	8	30	1	1	2	10	0	0	0	3	257	28.625	3.29	217	24.4333	1.11	306	38.7167	4.47	587	81.4811	10.3	5817	0.7121	0.9651	1	0.5899	0.7135	0.0991	0.5163	0.2609	0	0.3373	0.2249	0.0893	13.7443	5.7546	-12.9432	-6.9821	1.7978	-1.0377	-3.0203	-1.9467	2011.225546
Thermal Resistance	0.9768	-0.1416	2	99	84.6592	2	3	26	141	0	0	0	10.8267	0	0	0	2	92	64	48	69	8.75	9.9	5.95	5.2133	1.85	1.54	1.47	0	12	6	3	5	0	1	0	1	0	0	0	0	17	4	14	23	1	2	5.8	2.94	0	0.38	0.68	0	4	4	13	40	2	0	2	2.94	0.44	0	0.68	0.12	14	10	6	17	1.1	2.1	0	3	0.61	0	0	0	13	11	31	35	0	2	4.85	1	0	0	0	0.42	94	8.75	1.85	67	9.9	1.54	74	5.95	1.47	210	16.04	2	1351	0.9787	1	1	0.9552	1	1	0.6486	1	1	0.3286	0.325	0	9.5109	15.4688	12.3958	-0.1229	2.0109	2.4062	3.0625	-1.4184	2013.015544
Thermoelectric Properties	-0.478	-0.0519	4	99	123.2136	404	1110	2188	4934	26	96.5733	252.6875	703.6722	2.68	7.8	26.09	78.8975	834	1214	2339	2696	185.8	250.28	416.7425	471.7031	20.5	37.39	56.41	64.4125	699	822	767	1370	62	53.3333	54	102.0082	7.7	4	4	13.16	166	334	580	804	22.4	30.14	47	83.167	1	2	1.51	12	89	227	585	1058	2.8	8	35	91.6064	0	1	6	8	68	82	178	462	7	8.14	17.7625	70.0579	0	0	0	3	32	139	247	303	2	10	22	19.4526	0	0	1	4	1238	211.8	23.18	2324	346.8533	45.19	4527	669.43	82.5	7630	1175.3753	143.31	28591	0.6737	0.8772	0.8844	0.5224	0.7216	0.8274	0.5167	0.6225	0.6838	0.3533	0.4013	0.4495	15.8425	11.9158	6.2683	3.2347	1.7947	2.3772	1.2193	0.7901	2013.858452
Thin Film Transistors	0.2262	-0.184	3	99	123.0529	84	156	548	1057	4	2	43.1028	105.2504	0	0	5.69	10.675	204	358	339	343	37.6	60.25	48.5639	59.3007	4.84	5.18	7.845	5	327	409	447	422	46.9167	47.5	40.8417	30.2589	4.87	7.99	1.675	6.4	98	99	149	115	10	12.5333	16.4889	11.9139	1.96	0	0	0	212	683	1244	1293	13.5667	79.3	136.1028	151.7428	0.22	10.52	19.795	14.985	63	83	98	185	9.2667	13	36.4889	34.4703	0	0	6.77	4.675	143	390	500	439	2	17.25	36.55	32.0705	0	0	0	1	288	41.6	4.84	514	62.25	5.18	887	91.6667	13.535	1400	164.551	15.675	11022	0.7083	0.9038	1	0.6965	0.9679	1	0.3822	0.5298	0.5796	0.245	0.3604	0.319	13.6695	15.5476	6.4602	7.3314	2.3725	1.4469	1.2758	0.4478	2012.570949
Topological Insulators	-0.6914	0.4203	4	99	78.2907	115	237	1480	5371	0	38.2	146.5	648.0345	0	4.12	21.47	73.11	396	550	2270	4580	63.1	135.9	396.3	725.1096	8.36	20.22	46.4	96.665	479	385	754	1552	44.6	30.25	70.4	212.1877	3.27	0	4.09	25.05	277	323	1028	2203	39.1	27	80.15	284.9156	2.09	2	8	40.45	40	44	170	487	2	0	13	51.3092	0	0	1	3	133	84	263	799	7	5	31	111.6714	1	0	7	8	30	34	141	427	0	1	19	50.0786	0	1	3	5	511	63.1	8.36	787	174.1	24.34	3750	542.8	67.87	9951	1373.1442	169.775	26081	0.775	1	1	0.6989	0.7806	0.8307	0.6053	0.7301	0.6837	0.4603	0.5281	0.5694	15.9343	8.5909	7.5595	3.7667	2.1111	1.938	0.5934	0.7494	2015.439132
VCSEL	0.6766	0.1972	5	99	99.116	195	360	690	1061	15.15	29.8	68.39	120.1417	1	2	6.38	10.8467	190	255	434	582	35.15	58.7	84.1233	102.075	3.85	9.06	8.37	14.0233	139	172	187	214	13.6667	10.8	15	24.2	1	0	2	2	98	97	103	165	21.1	11	11.12	19.8667	4.36	1.42	1.31	2	73	119	141	245	11	16	9.3	20.125	0.98	4.78	0	2.21	28	47	53	107	4.6667	12.2	9	21.3417	0	0	1	2.21	14	19	37	57	1	2	1	5	0.15	0	0	0	605	62.9333	4.65	404	32.55	1.03	420	27.1	2	574	67.0336	9.745	5086	0.8083	0.9206	1	0.5025	0.6943	1	0.4024	0.8856	1	0.2787	0.4472	0.588	7.537	6.1828	12.9661	9.7858	0.9509	0.5074	1.1834	2.6114	2009.672238
Vanadium Dioxide	-0.3748	-0.1163	1	99	127.4746	116	201	251	414	5	9.95	3.1	37.0555	0	0	0	4.015	489	203	169	160	57.9333	22.6	24	29.9782	4.65	1.03	2	5.73	210	89	88	56	15	11.3	4.45	5.3091	2.79	0.95	0	1	172	107	102	140	29.8333	22.75	14.9167	16.6091	3	2	0	2.79	59	51	15	25	3	3	0	1	1	0.89	0	0	144	97	68	59	12.8333	12.75	10	11.2	1	4.65	1	0.815	85	72	32	60	2.1	3	6	9.3	1	0	0.88	1.79	385	50.3	4.85	615	88.5	11.06	1124	152.5133	14.75	1643	222.2167	24.87	7402	0.4935	0.6988	0.7938	0.4146	0.6633	0.8192	0.3861	0.5516	0.5675	0.3542	0.4593	0.5639	10.7308	14.7418	9.4717	6.2152	1.5135	2.9974	1.0039	1.3872	2012.835045
ZnO	-0.5192	-0.1424	3	99	120.9803	1545	5167	6667	6861	126	487.5377	799.2569	1070.2342	4.4	48.79	94.02	141.28	1127	2011	1778	1197	265.1667	361.8894	240.5182	154.4389	42.18	62.01	30	25.215	1277	1432	996	726	91.9667	87.8167	69.3584	62.9791	6.33	18.71	19	9	473	1009	967	710	52.3	135.8714	90.2668	72.8166	6	16	11.455	8	785	2042	2494	1784	76.7	151.8423	239.6751	251.6375	4.44	12	30.78	21.9	177	307	412	395	21	53.6833	49.5929	53.1123	3	7.01	8	6.215	208	873	1263	804	19	80.3923	48.9917	39.2317	1	6	1	1	2672	391.1667	46.58	7178	849.4271	110.8	8445	1039.7751	124.02	8058	1224.6731	166.495	64177	0.4218	0.6779	0.9055	0.2802	0.426	0.5597	0.2105	0.2313	0.2419	0.1485	0.1261	0.1514	15.3732	8.5599	1.5392	-2.6966	3.4579	2.1393	0.2771	0.0473	2012.435234
ZnSe	-0.201	0.4001	3	99	119.3536	102	48	62	103	7.825	1	3.175	6.8833	1	0	0	0	194	74	75	83	31.7667	20.35	20.3667	15.8	4.95	2.22	2.73	4.17	320	89	45	44	24.1167	5.6	3.175	4.16	3.77	0	0	0.8	161	18	12	23	11.4167	2	0	1	1	0	0	0	76	43	16	15	5.4667	4	0.2333	3	0	0.25	0	0	68	21	18	21	5	0.6	5	2.5	0	0	0	0	50	56	15	4	4	4	0	0	1	0	0	0	296	39.5917	5.95	122	21.35	2.22	137	23.5417	2.73	186	22.6833	4.17	2993	0.6554	0.8024	0.8319	0.6066	0.9532	1	0.5474	0.8651	1	0.4462	0.6965	1	8.703	25.4167	22.0346	12.3533	1.5712	3	3.64	5.0241	2008.010692
